Year,Anomaly
1850-01,-0.36
1850-02,-0.12
1850-03,-0.23
1850-04,-0.19
1850-05,-0.19
1850-06,-0.1
1850-07,-0.09
1850-08,-0.11
1850-09,-0.18
1850-10,-0.11
1850-11,-0.14
1850-12,-0.06
1851-01,-0.11
1851-02,-0.06
1851-03,-0.23
1851-04,-0.16
1851-05,-0.08
1851-06,-0.14
1851-07,-0.04
1851-08,-0.01
1851-09,0.02
1851-10,-0.03
1851-11,-0.04
1851-12,-0.02
1852-01,-0.14
1852-02,-0.07
1852-03,-0.25
1852-04,-0.36
1852-05,0.01
1852-06,-0.06
1852-07,-0.04
1852-08,0.07
1852-09,-0.01
1852-10,-0.06
1852-11,-0.05
1852-12,-0.08
1853-01,0
1853-02,-0.14
1853-03,-0.14
1853-04,-0.17
1853-05,-0.11
1853-06,-0.06
1853-07,-0.01
1853-08,-0.01
1853-09,-0.11
1853-10,-0.15
1853-11,-0.13
1853-12,-0.21
1854-01,-0.23
1854-02,-0.17
1854-03,-0.04
1854-04,-0.2
1854-05,-0.07
1854-06,-0.06
1854-07,-0.11
1854-08,-0.13
1854-09,-0.05
1854-10,-0.01
1854-11,-0.12
1854-12,0.03
1855-01,0.01
1855-02,-0.1
1855-03,-0.14
1855-04,-0.08
1855-05,-0.12
1855-06,-0.2
1855-07,-0.12
1855-08,-0.14
1855-09,-0.18
1855-10,-0.03
1855-11,0.04
1855-12,-0.2
1856-01,-0.08
1856-02,-0.07
1856-03,-0.27
1856-04,-0.16
1856-05,-0.11
1856-06,-0.14
1856-07,-0.33
1856-08,-0.3
1856-09,-0.18
1856-10,-0.44
1856-11,-0.47
1856-12,-0.36
1857-01,-0.28
1857-02,-0.33
1857-03,-0.31
1857-04,-0.36
1857-05,-0.33
1857-06,-0.29
1857-07,-0.22
1857-08,-0.17
1857-09,-0.19
1857-10,-0.24
1857-11,-0.27
1857-12,-0.15
1858-01,-0.15
1858-02,-0.3
1858-03,-0.18
1858-04,-0.19
1858-05,-0.2
1858-06,-0.18
1858-07,-0.19
1858-08,-0.21
1858-09,-0.19
1858-10,-0.2
1858-11,-0.18
1858-12,-0.18
1859-01,-0.1
1859-02,0.02
1859-03,-0.03
1859-04,-0.07
1859-05,-0.08
1859-06,-0.1
1859-07,-0.09
1859-08,-0.13
1859-09,-0.11
1859-10,-0.11
1859-11,-0.06
1859-12,-0.03
1860-01,-0.12
1860-02,-0.1
1860-03,-0.18
1860-04,-0.17
1860-05,-0.14
1860-06,-0.18
1860-07,-0.25
1860-08,-0.24
1860-09,-0.21
1860-10,-0.22
1860-11,-0.32
1860-12,-0.47
1861-01,-0.46
1861-02,-0.31
1861-03,-0.26
1861-04,-0.28
1861-05,-0.23
1861-06,-0.27
1861-07,-0.17
1861-08,-0.1
1861-09,-0.09
1861-10,-0.23
1861-11,-0.25
1861-12,-0.24
1862-01,-0.4
1862-02,-0.35
1862-03,-0.27
1862-04,-0.28
1862-05,-0.34
1862-06,-0.32
1862-07,-0.29
1862-08,-0.3
1862-09,-0.23
1862-10,-0.27
1862-11,-0.19
1862-12,-0.28
1863-01,-0.05
1863-02,-0.08
1863-03,-0.12
1863-04,-0.15
1863-05,-0.12
1863-06,-0.24
1863-07,-0.23
1863-08,-0.14
1863-09,-0.2
1863-10,-0.22
1863-11,-0.18
1863-12,-0.08
1864-01,-0.35
1864-02,-0.2
1864-03,-0.18
1864-04,-0.2
1864-05,-0.13
1864-06,-0.09
1864-07,-0.15
1864-08,-0.17
1864-09,-0.24
1864-10,-0.27
1864-11,-0.19
1864-12,-0.11
1865-01,-0.05
1865-02,-0.25
1865-03,-0.18
1865-04,-0.16
1865-05,-0.17
1865-06,-0.13
1865-07,-0.07
1865-08,-0.09
1865-09,-0.09
1865-10,-0.15
1865-11,-0.1
1865-12,-0.11
1866-01,0.09
1866-02,-0.06
1866-03,-0.07
1866-04,-0.17
1866-05,-0.18
1866-06,-0.1
1866-07,-0.06
1866-08,-0.18
1866-09,-0.2
1866-10,-0.19
1866-11,-0.06
1866-12,-0.1
1867-01,-0.22
1867-02,-0.09
1867-03,-0.21
1867-04,-0.19
1867-05,-0.27
1867-06,-0.19
1867-07,-0.22
1867-08,-0.12
1867-09,-0.04
1867-10,-0.13
1867-11,-0.16
1867-12,-0.34
1868-01,-0.42
1868-02,-0.23
1868-03,-0.09
1868-04,-0.1
1868-05,0
1868-06,-0.04
1868-07,-0.11
1868-08,-0.11
1868-09,-0.18
1868-10,-0.14
1868-11,-0.14
1868-12,-0.09
1869-01,-0.15
1869-02,0.02
1869-03,-0.15
1869-04,-0.11
1869-05,-0.11
1869-06,-0.09
1869-07,-0.15
1869-08,-0.19
1869-09,-0.17
1869-10,-0.24
1869-11,-0.01
1869-12,-0.07
1870-01,-0.05
1870-02,-0.16
1870-03,-0.05
1870-04,-0.12
1870-05,-0.12
1870-06,-0.16
1870-07,-0.11
1870-08,-0.16
1870-09,-0.2
1870-10,-0.31
1870-11,-0.23
1870-12,-0.37
1871-01,-0.28
1871-02,-0.31
1871-03,-0.01
1871-04,-0.01
1871-05,-0.13
1871-06,-0.13
1871-07,-0.09
1871-08,-0.16
1871-09,-0.23
1871-10,-0.25
1871-11,-0.23
1871-12,-0.24
1872-01,-0.19
1872-02,-0.19
1872-03,-0.21
1872-04,-0.2
1872-05,-0.17
1872-06,-0.17
1872-07,-0.13
1872-08,-0.1
1872-09,-0.19
1872-10,-0.14
1872-11,-0.17
1872-12,-0.29
1873-01,-0.11
1873-02,-0.18
1873-03,-0.27
1873-04,-0.44
1873-05,-0.3
1873-06,-0.14
1873-07,-0.13
1873-08,-0.09
1873-09,-0.2
1873-10,-0.17
1873-11,-0.19
1873-12,-0.13
1874-01,-0.06
1874-02,-0.18
1874-03,-0.29
1874-04,-0.3
1874-05,-0.3
1874-06,-0.26
1874-07,-0.15
1874-08,-0.14
1874-09,-0.16
1874-10,-0.2
1874-11,-0.26
1874-12,-0.27
1875-01,-0.4
1875-02,-0.21
1875-03,-0.21
1875-04,-0.22
1875-05,-0.1
1875-06,-0.08
1875-07,-0.11
1875-08,-0.09
1875-09,-0.17
1875-10,-0.15
1875-11,-0.35
1875-12,-0.31
1876-01,-0.26
1876-02,-0.24
1876-03,-0.16
1876-04,-0.28
1876-05,-0.35
1876-06,-0.19
1876-07,-0.16
1876-08,-0.15
1876-09,-0.19
1876-10,-0.16
1876-11,-0.26
1876-12,-0.23
1877-01,-0.16
1877-02,-0.02
1877-03,0.03
1877-04,-0.1
1877-05,-0.05
1877-06,0.06
1877-07,0.12
1877-08,0.11
1877-09,0.13
1877-10,0.11
1877-11,0.19
1877-12,0.1
1878-01,0.1
1878-02,0.23
1878-03,0.25
1878-04,0.06
1878-05,0.04
1878-06,0.1
1878-07,0.05
1878-08,0.03
1878-09,0.02
1878-10,-0.05
1878-11,-0.09
1878-12,-0.08
1879-01,-0.07
1879-02,-0.04
1879-03,-0.04
1879-04,-0.06
1879-05,-0.05
1879-06,-0.12
1879-07,-0.08
1879-08,-0.18
1879-09,-0.14
1879-10,-0.08
1879-11,-0.24
1879-12,-0.31
1880-01,-0.16
1880-02,-0.18
1880-03,-0.11
1880-04,-0.15
1880-05,-0.07
1880-06,-0.2
1880-07,-0.23
1880-08,-0.14
1880-09,-0.17
1880-10,-0.31
1880-11,-0.18
1880-12,-0.17
1881-01,-0.16
1881-02,-0.17
1881-03,-0.08
1881-04,-0.02
1881-05,0
1881-06,-0.19
1881-07,-0.09
1881-08,-0.05
1881-09,-0.17
1881-10,-0.25
1881-11,-0.26
1881-12,-0.08
1882-01,0.15
1882-02,0.05
1882-03,-0.02
1882-04,-0.19
1882-05,-0.2
1882-06,-0.22
1882-07,-0.18
1882-08,-0.08
1882-09,-0.11
1882-10,-0.29
1882-11,-0.23
1882-12,-0.25
1883-01,-0.33
1883-02,-0.35
1883-03,-0.18
1883-04,-0.18
1883-05,-0.16
1883-06,-0.16
1883-07,-0.12
1883-08,-0.16
1883-09,-0.29
1883-10,-0.24
1883-11,-0.28
1883-12,-0.23
1884-01,-0.17
1884-02,-0.21
1884-03,-0.3
1884-04,-0.36
1884-05,-0.32
1884-06,-0.32
1884-07,-0.36
1884-08,-0.32
1884-09,-0.31
1884-10,-0.3
1884-11,-0.41
1884-12,-0.33
1885-01,-0.57
1885-02,-0.36
1885-03,-0.27
1885-04,-0.36
1885-05,-0.4
1885-06,-0.36
1885-07,-0.37
1885-08,-0.31
1885-09,-0.27
1885-10,-0.27
1885-11,-0.24
1885-12,-0.09
1886-01,-0.29
1886-02,-0.31
1886-03,-0.27
1886-04,-0.2
1886-05,-0.21
1886-06,-0.27
1886-07,-0.21
1886-08,-0.29
1886-09,-0.27
1886-10,-0.21
1886-11,-0.24
1886-12,-0.27
1887-01,-0.53
1887-02,-0.42
1887-03,-0.26
1887-04,-0.28
1887-05,-0.27
1887-06,-0.24
1887-07,-0.28
1887-08,-0.34
1887-09,-0.19
1887-10,-0.34
1887-11,-0.26
1887-12,-0.26
1888-01,-0.3
1888-02,-0.32
1888-03,-0.33
1888-04,-0.19
1888-05,-0.15
1888-06,-0.11
1888-07,-0.12
1888-08,-0.18
1888-09,-0.14
1888-10,-0.05
1888-11,-0.07
1888-12,-0.05
1889-01,-0.04
1889-02,0.1
1889-03,0.05
1889-04,0.04
1889-05,0.02
1889-06,-0.03
1889-07,-0.06
1889-08,-0.12
1889-09,-0.18
1889-10,-0.24
1889-11,-0.28
1889-12,-0.2
1890-01,-0.36
1890-02,-0.27
1890-03,-0.23
1890-04,-0.21
1890-05,-0.25
1890-06,-0.2
1890-07,-0.24
1890-08,-0.33
1890-09,-0.27
1890-10,-0.3
1890-11,-0.44
1890-12,-0.23
1891-01,-0.27
1891-02,-0.34
1891-03,-0.21
1891-04,-0.21
1891-05,-0.1
1891-06,-0.13
1891-07,-0.12
1891-08,-0.14
1891-09,-0.1
1891-10,-0.22
1891-11,-0.31
1891-12,-0.06
1892-01,-0.21
1892-02,-0.14
1892-03,-0.26
1892-04,-0.22
1892-05,-0.17
1892-06,-0.19
1892-07,-0.3
1892-08,-0.26
1892-09,-0.16
1892-10,-0.23
1892-11,-0.37
1892-12,-0.48
1893-01,-0.67
1893-02,-0.58
1893-03,-0.28
1893-04,-0.24
1893-05,-0.31
1893-06,-0.2
1893-07,-0.21
1893-08,-0.28
1893-09,-0.28
1893-10,-0.26
1893-11,-0.24
1893-12,-0.28
1894-01,-0.36
1894-02,-0.16
1894-03,-0.16
1894-04,-0.31
1894-05,-0.21
1894-06,-0.29
1894-07,-0.2
1894-08,-0.21
1894-09,-0.24
1894-10,-0.28
1894-11,-0.26
1894-12,-0.19
1895-01,-0.35
1895-02,-0.37
1895-03,-0.32
1895-04,-0.2
1895-05,-0.18
1895-06,-0.18
1895-07,-0.15
1895-08,-0.15
1895-09,-0.1
1895-10,-0.12
1895-11,-0.15
1895-12,-0.08
1896-01,-0.15
1896-02,-0.04
1896-03,-0.16
1896-04,-0.13
1896-05,-0.05
1896-06,-0.07
1896-07,-0.01
1896-08,-0.03
1896-09,-0.02
1896-10,0.03
1896-11,-0.07
1896-12,0.01
1897-01,-0.07
1897-02,-0.1
1897-03,-0.14
1897-04,0.08
1897-05,0.1
1897-06,-0.11
1897-07,-0.05
1897-08,-0.04
1897-09,-0.04
1897-10,-0.1
1897-11,-0.19
1897-12,-0.2
1898-01,-0.01
1898-02,-0.22
1898-03,-0.47
1898-04,-0.26
1898-05,-0.21
1898-06,-0.15
1898-07,-0.18
1898-08,-0.21
1898-09,-0.23
1898-10,-0.36
1898-11,-0.33
1898-12,-0.16
1899-01,-0.23
1899-02,-0.3
1899-03,-0.3
1899-04,-0.22
1899-05,-0.19
1899-06,-0.23
1899-07,-0.11
1899-08,-0.03
1899-09,-0.02
1899-10,-0.08
1899-11,0
1899-12,-0.27
1900-01,-0.3
1900-02,-0.17
1900-03,-0.03
1900-04,-0.04
1900-05,-0.06
1900-06,-0.08
1900-07,-0.11
1900-08,-0.07
1900-09,-0.05
1900-10,0.05
1900-11,-0.08
1900-12,-0.06
1901-01,-0.12
1901-02,-0.08
1901-03,0.03
1901-04,0
1901-05,-0.09
1901-06,-0.08
1901-07,-0.09
1901-08,-0.14
1901-09,-0.18
1901-10,-0.28
1901-11,-0.22
1901-12,-0.38
1902-01,-0.17
1902-02,-0.04
1902-03,-0.27
1902-04,-0.28
1902-05,-0.27
1902-06,-0.26
1902-07,-0.24
1902-08,-0.23
1902-09,-0.22
1902-10,-0.28
1902-11,-0.32
1902-12,-0.27
1903-01,-0.15
1903-02,-0.03
1903-03,-0.17
1903-04,-0.3
1903-05,-0.33
1903-06,-0.3
1903-07,-0.32
1903-08,-0.4
1903-09,-0.42
1903-10,-0.48
1903-11,-0.47
1903-12,-0.46
1904-01,-0.49
1904-02,-0.54
1904-03,-0.54
1904-04,-0.47
1904-05,-0.46
1904-06,-0.4
1904-07,-0.45
1904-08,-0.42
1904-09,-0.49
1904-10,-0.35
1904-11,-0.26
1904-12,-0.34
1905-01,-0.27
1905-02,-0.45
1905-03,-0.36
1905-04,-0.42
1905-05,-0.24
1905-06,-0.2
1905-07,-0.18
1905-08,-0.22
1905-09,-0.21
1905-10,-0.23
1905-11,-0.09
1905-12,-0.09
1906-01,-0.21
1906-02,-0.21
